,ra,dec,mag
197,66.417,21.963,14.5
198,200.90854,-25.9125,10.11
199,83.673792,-5.448056,13.972
200,225.48650991,40.39056683,2.37
201,84.44062,-5.88561,14.4
202,56.469774,23.465094,15.08
203,56.85746,25.14253,13.98
204,99.93996,10.38156,14.8
205,65.9598374,14.9215225,13.08
206,310.83004,55.34781,11.1
207,83.82,-5.67,16.2
208,82.26008,-5.65908,16.7
209,82.44692,-7.06928,16.2
210,315.371,40.68,15.7
211,280.68746,13.90467,9.95
212,58.55535,25.474697,15.2
213,83.619488,-4.577661,14.13
214,55.12921,24.36139,14.7
215,83.944,-4.43686,14.4
216,35.60963,61.59311,11.3
217,303.707296,1.886328,18.63
218,57.05738,23.63322,14.79
219,142.504671,38.580272,15.237
220,57.63308,22.14661,15.4
221,57.146608,22.895149,15.3
222,72.097004,24.658769,14.319
223,83.961554,-5.274772,12.486
224,324.954,53.988,12.5
225,58.326613,25.921372,14.0
226,84.21558,-5.22497,13.6
227,83.6656,-5.051731,14.53
228,57.704,22.67006,13.553
229,66.234151,-40.046364,11.07
230,129.63371,18.46503,16.0
231,190.073625,-4.095194,50.0
232,83.905696,-3.851742,14.0
233,84.25925,-4.01192,16.0
234,274.7385277,66.192617,10.1
235,56.34788,24.85081,13.163
236,100.31562,9.438,12.31
237,59.12675,24.28853,16.06
238,36.220337,61.896214,10.37
239,56.98025,23.31833,14.3
240,66.92208,59.58797,11.3
241,57.55379,24.35189,12.68
242,56.52867,25.24586,14.5
243,52.20163,-27.31808,13.8
244,34.146279,-30.968706,10.28
245,57.98642,24.24469,14.7
246,57.549367,24.296069,13.26
247,83.95,-5.12,14.1
248,55.10079,24.5845,13.86
249,57.43021,24.31797,12.4
250,82.87771,-4.41403,15.4
251,83.599379,-0.948142,16.65
252,17.256258,-51.013747,15.27
253,54.92796,23.90775,14.2
254,217.42895219,-62.67948975,7.41
255,84.46408,-6.66431,12.083
256,57.18929,23.33894,12.08
257,310.471387,40.234,17.9
258,39.2758,6.9156,14.3
259,83.688121,-6.352019,14.041
260,329.42167912,-51.0061717,8.101
261,130.84335,19.200208,16.5
262,57.238942,24.328839,13.34
263,100.0,9.78,17.7
264,66.76146,22.28442,13.9
265,315.4008,68.1394,13.2
266,57.18896,24.62403,14.8
267,55.51217,23.93164,13.541
268,84.131333,-6.687081,13.989
269,83.32971,44.81633,9.8
270,56.51438,24.34922,15.2
271,83.01887,-3.67436,15.0
272,55.843967,23.129914,16.1
273,183.568908,0.623989,10.1
274,58.315391,22.870745,14.15
275,84.152271,-6.240328,14.327
276,95.3043303,44.2418584,10.8
277,66.87021,23.976,14.6
278,57.79808,24.38703,13.641
279,56.899392,24.874147,15.31
280,166.38055,43.521403,13.4
281,34.17165252,-30.98839109,9.406
282,186.304,23.607,14.7
283,84.975,-6.5467,16.2
284,56.937583,23.872,13.7
285,130.387,18.747,16.5
286,315.057363,17.520286,12.512
287,55.73738,24.2285,18.0
288,56.5839115,26.21549434,7.9
289,83.44721,-6.011,16.2
290,203.68002794,-8.34203992,7.93
291,54.264439,24.743233,13.72
292,85.64246,-6.67414,14.9
293,57.5465,23.92836,15.5
294,99.90313,10.33608,14.8
295,83.63712,-5.01122,14.3
296,254.42073624,35.26971029,9.91
297,71.109883,28.232219,14.461
298,159.00503,5.120226,9.922
299,131.692725,20.726253,14.7
300,19.863987,-26.365247,10.86
301,57.50775,25.21144,15.0
302,54.778046,23.999317,13.3
303,83.3,-5.7,14.7
304,56.22963,25.36147,12.0
305,312.42804,69.05772,16.3
306,83.4396,-6.9517,13.5
307,54.76857108,9.65283971,9.03
308,100.25,9.85,15.4
309,58.03312,25.46522,15.91
310,57.750196,-0.879244,18.02
311,56.157412,22.921039,13.379
312,254.29456276,35.28653422,8.12
313,56.53737,24.07258,15.6
314,129.642,19.258,15.2
315,83.6063,-4.3767,15.5
316,189.76958937,47.03973056,10.3
317,129.812,20.02,15.5
318,137.387229,42.750342,15.256
319,33.381521,60.434208,11.21
320,57.1358,23.4417,18.5
321,56.09608,24.06831,12.6
322,55.44617,22.85703,12.806
323,56.0095,25.06494,15.3
324,55.82721,23.56919,14.2
325,55.90238,23.13375,14.7
326,99.59288,10.01364,15.0
327,83.94646,-6.48625,14.5
328,312.663,41.022,16.6
329,56.70504,24.60003,13.05
330,143.20112,26.99564,12.1
331,84.561,-5.09717,14.8
332,84.57533,-5.08389,13.1
333,61.41204,5.74467,10.207
334,83.4363,-5.3511,14.0
335,313.7958,44.8236,15.5
336,315.30367,41.90328,11.7
337,83.990487,-5.385908,13.57
338,58.00683,25.02486,15.11
339,314.0805,43.24197,15.8
340,83.661228,-5.961986,12.09
341,52.163,-15.62592,14.37
342,82.22163,-3.87206,14.7
343,2.224663,20.840347,10.5
344,100.92754,9.2175,15.7
345,57.820196,23.826575,11.1
346,315.6529,42.3428,13.5
347,310.746683,67.135567,16.5
348,114.1046592,7.0786498,9.9
349,66.517983,17.120719,15.71
350,81.58046,-4.55764,16.2
351,54.43971,22.00864,14.5
352,57.25288,23.95869,14.1
353,352.3441565,41.4644895,8.5
354,84.34775,-5.72311,14.07
355,187.36304,22.99631,11.0
356,83.613784,-4.924607,13.2
357,83.860787,-4.935197,12.8
358,83.6411,-5.943908,14.25
359,224.47395,56.656733,11.2
360,309.3367559,21.9479389,9.7
361,83.570312,-5.072519,13.65
362,7.619467,62.83555,12.88
363,212.490138,29.156022,50.0
364,100.15,9.5,18.0
365,69.91096,23.01658,12.4
366,168.7162,-61.7603,14.6
367,83.930192,-5.154758,12.05
368,205.298438,14.063803,50.0
369,58.25704,22.66228,14.9
370,84.60788,-6.99775,14.384
371,172.85383,4.68792,50.0
372,82.37913,-5.53172,15.4
373,57.10854,25.21881,15.9
374,68.731,26.58347,14.1
375,83.07954,-6.56036,16.0
376,122.0549371,21.10507,8.0
377,296.4871,4.2461,14.0
378,313.00925,43.6335,14.3
379,55.51192,24.21011,13.926
380,29.383,-80.927,14.0
381,83.82188,-6.54619,15.3
382,85.04092,-7.16503,15.8
383,57.714342,23.329203,11.4
384,237.12354,-53.77422,50.0
385,62.02946,-71.45028,11.7
386,81.82271,-4.19997,17.1
387,314.45335,43.839889,14.0
388,57.69413,25.287,14.9
389,83.742483,-5.157658,13.9
390,54.680403,25.374271,13.744
391,56.54121,24.67364,12.81
392,83.642371,-4.807753,14.11
393,82.79908,-4.60778,14.1
394,54.702825,25.188786,12.25
395,299.318463,29.105864,15.0
396,84.6645,-5.63861,16.7
397,73.377229,-55.858794,11.77
398,56.31717,24.12119,13.823
399,57.9475,25.201858,11.87
400,186.111058,25.752158,13.8
401,58.89104,22.80892,12.62
402,58.55421,23.3475,14.107
403,36.41008,37.54278,10.9
404,69.50779,25.95311,17.1
405,112.770971,22.998536,13.523
406,192.26148488,66.11018451,9.2
407,98.85729,9.47422,14.5
408,58.76021,25.32572,15.7
409,340.84638,22.13831,11.3
410,70.719667,31.640117,14.318
411,293.16596,-6.44542,15.1
412,54.80065,25.2472,15.3
413,205.541283,-16.006483,13.213
414,83.994221,-4.490056,13.88
415,314.83471,41.92894,13.4
416,332.212,-47.18,50.0
417,68.72,22.33,16.7
418,57.302667,25.702092,14.0
419,82.6008,-4.9861,17.7
420,289.57142,-5.10147,14.1
421,58.66479,22.61008,14.9
422,85.10521,-6.26253,14.5
423,69.041917,24.031967,14.9
424,56.185604,24.175117,16.5
425,313.7329,42.9583,14.5
426,66.03325,23.91972,15.1
427,167.734387,40.345233,14.309
428,83.5371,-5.0283,17.5
429,306.81958,41.70056,16.2
430,56.55117,25.55044,12.7
431,56.96625,24.09647,15.9
432,130.123963,18.40255,13.45
433,59.32933,22.08992,17.6
434,353.5138895,0.17941044,8.881
435,308.056863,43.269,16.1
436,57.93208,24.18631,15.8
437,85.107108,24.802505,11.04
438,55.28363,23.21547,14.4
439,68.24579,26.24439,15.5
440,250.08617,67.60131,11.3
441,57.99717,24.66642,15.5
442,56.29275,24.39219,14.3
443,84.049175,-5.009067,13.63
444,83.4287,-4.9286,18.3
445,55.95188,25.04361,14.9
446,83.21271,-6.64653,14.2
447,83.04971,-4.72117,16.2
448,56.30588,23.51692,14.1
449,68.80487,22.98903,14.9
450,83.822246,-6.087764,13.38
451,191.44612,52.92186,11.0
452,84.35321,-5.07619,13.5
453,99.62071,9.19058,14.9
454,83.430212,-6.089864,14.58
455,17.3280024,-24.506577,11.52
456,313.878137,43.58015,16.8
457,56.76979,25.38061,13.61
458,99.82021,9.29472,14.5
459,167.9655939,33.5364664,9.7
460,57.90212,26.43381,15.0
461,83.866367,-6.160867,13.57
462,84.82429,-3.92022,15.2
463,172.7237274,44.2434428,13.655
464,55.404,23.777,16.7
465,149.8370936,43.8403217,10.9
466,83.8739,-5.812508,11.99
467,84.00933,-4.31094,15.5
468,55.02788,24.419,14.8
469,312.521,43.42,16.8
470,56.16505,24.528961,15.3
471,219.22092,58.34861,9.1
472,55.692508,23.453336,13.7
473,334.329155,-8.80339,10.57
474,57.017887,22.855522,13.0
475,84.36254,-5.51778,16.3
476,83.847675,-5.18105,12.056
477,56.57213,25.98653,14.7
478,42.040587,27.073828,15.75
479,83.54587,-6.79011,15.9
480,359.330654,-12.977975,10.41
481,83.54321,-4.47392,17.1
482,84.02875,-4.34378,14.9
483,56.44267,26.29947,14.0
484,68.517742,22.004067,15.6
485,313.11079,42.97703,15.0
486,83.50808,-4.76369,15.0
487,58.63996,23.32208,15.0
488,84.066004,-6.247425,14.38
489,84.169546,-6.867922,13.806
