index,identifier,typ,ra,dec,MagU,MagB,MagV,MagR,MagI,Magg,Magr,spectype,bib,not,mag,inCA,inCB,observedable
1700,V*CICnc,Fl*,130.3612,18.2344,15.6,,,,,,,~,3,0,15.6,16.0,,True
1024,V*V941Tau,Fl*,68.85496,26.70933,,15.3,,,,,,~,3,0,15.3,13.0,,True
1707,V*V947Tau,Fl*,69.60837,22.06703,,15.1,,13.9,,,,~,3,0,13.9,13.0,,True
1890,V*V917Tau,Fl*,67.10138,24.73736,,16.1,,15.8,,,,~,3,0,15.8,13.0,,True
154,V*BGCnc,Fl*,130.679,19.77,15.5,19.3,,,,,,~,3,0,15.5,5.0,16.0,True
2024,V*V957Tau,Fl*,70.679,23.477,,15.5,,,,,,~,3,0,15.5,13.0,,True
576,V*V923Tau,Fl*,67.51637,25.83417,,15.9,,15.0,,,,~,3,0,15.0,13.0,,True
1537,V*V942Tau,Fl*,69.17042,26.72161,,14.7,,14.8,,,,~,3,0,14.7,13.0,,True
1971,V*V959Tau,Fl*,71.067,25.708,,15.8,,,,,,~,3,0,15.8,13.0,,True
717,V*V958Tau,Fl*,70.754,23.677,,14.2,,,,,,~,3,0,14.2,13.0,,True
442,V*V930Tau,Fl*,68.24579,26.24439,,15.5,,,,,,~,3,0,15.5,13.0,,True
557,V*DSCnc,Fl*,131.306596,17.724022,16.3,,,13.6,,,,M4,2,0,13.6,5.0,16.0,True
420,[H83b]B60,Fl*,68.72,22.33,,16.7,,,,,,~,2,0,16.7,13.0,,True
317,V*CFCnc,Fl*,129.642,19.258,15.2,,,,,,,~,2,0,15.2,5.0,16.0,True
2008,[H83b]B28,Fl*,68.42,22.7,,19.8,,,,,,~,2,0,19.8,13.0,,True
56,[H83b]B71,Fl*,68.67,24.77,,18.8,,,,,,~,2,0,18.8,13.0,,True
1953,V*DNCnc,Fl*,129.6829,19.2903,15.8,,,,,,,~,2,0,15.8,5.0,16.0,True
140,[H83b]B33,Fl*,68.32,24.37,,17.2,,,,,,~,2,0,17.2,13.0,,True
198,V*V822Tau,Fl*,66.417,21.963,,14.5,,,,,,~,2,0,14.5,13.0,,True
1914,V*V1106Tau,Fl*,68.31004,24.36003,19.32,16.0,,,,,,~,2,0,16.0,13.0,,True
287,V*CKCnc,Fl*,130.387,18.747,,16.5,,,,,,~,2,0,16.5,5.0,16.0,True
1810,V*CGCnc,Fl*,130.287,18.755,,17.5,,,,,,~,2,0,17.5,5.0,16.0,True
585,[H83b]B47,Fl*,69.57,23.07,,15.3,,,,,,~,2,0,15.3,13.0,,True
1259,V*DPCnc,Fl*,130.402258,17.561928,13.2,17.6,,15.1,,,,M3.5,2,0,13.2,5.0,16.0,True
1055,V*CSCnc,Fl*,131.933,18.355,15.5,,,,,,,~,2,0,15.5,16.0,,True
1687,[H83b]B75,Fl*,67.75,24.83,,18.0,,,,,,~,2,0,18.0,13.0,,True
1060,V*V835Tau,Fl*,70.975,22.377,,14.6,,,,,,~,2,0,14.6,13.0,,True
1139,[H83b]B52,Fl*,69.07,23.48,,16.0,,,,,,~,2,0,16.0,13.0,,True
1215,V*BDPsc,Fl*,345.512417,-2.194392,,21.0,18.0,18.4,,,,~,2,0,18.0,12.0,,True
1406,V*CRCnc,Fl*,131.837,19.442,,16.1,,,,,,~,2,0,16.1,16.0,,True
1135,V*CHCnc,Fl*,130.283,17.817,,17.5,,,,,,~,2,0,17.5,5.0,16.0,True
9,V*BCCnc,Fl*,130.279,19.022,,,,,,,,M...,2,0,50.0,5.0,16.0,True
646,V*DDCnc,Fl*,128.3418,20.721489,16.0,,,,,,,M3-4,2,0,16.0,5.0,16.0,True
641,[H83b]B21,Fl*,68.62,22.42,,15.9,,,,,,~,2,0,15.9,13.0,,True
600,[H83b]B19,Fl*,68.6,22.47,,16.1,,,,,,~,2,0,16.1,13.0,,True
1507,V*BBCnc,Fl*,130.154,19.488,,,,,,,,M...,1,0,50.0,5.0,16.0,True
570,CRTSCSS090615J124907+003142,Fl*,192.27804,0.52833,,,,,,,,~,1,0,50.0,17.0,,True
97,V*V1108Tau,Fl*,68.55725,22.445744,,15.6,,14.2,,,,~,1,0,14.2,13.0,,True
1387,V*V1107Tau,Fl*,68.3545,22.68269,,15.7,,,,,,~,1,0,15.7,13.0,,True
