C.D.S.  -  SIMBAD4 rel 1.5.8  -  2016.10.08EDT11:44:25

maintype = 'Flare Star'
-----------------------

Number of objects : 2026

 #  |         identifier          |typ| coord1 (ICRS,J2000/2000)  |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|-----------------------------|---|---------------------------|------|------|------|------|------|---------------|----|----
375 |V* V684 Ori                  |Fl*|082.37913 -05.53172        |     ~|15.4  |     ~|16.700|     ~|~              |   4|   0
376 |V* V868 Tau                  |Fl*|057.10854 +25.21881        |16.0  |16.100|     ~|15.900|     ~|~              |   6|   0
377 |V* V832 Tau                  |Fl*|068.73100 +26.58347        |     ~|15.9  |     ~|14.100|     ~|~              |   3|   0
378 |V* V1266 Ori                 |Fl*|083.07954 -06.56036        |16.0  |     ~|     ~|     ~|     ~|~              |   3|   0
379 |BD+21 1764A                  |Fl*|122.0549371 +21.1050700    |     ~|10.89 | 9.50 | 8.7  | 8.0  |K5             |  34|   0
380 |V* V1406 Aql                 |Fl*|296.4871 +04.2461          |14    |     ~|     ~|     ~|     ~|~              |   5|   1
381 |V* V1793 Cyg                 |Fl*|313.00925 +43.63350        |14.3  |14.3  |     ~|15.600|     ~|~              |   3|   0
382 |V* V497 Tau                  |Fl*|055.51192 +24.21011        |15.2  |17.857|16.404|     ~|13.926|M2.7           |  20|   0
383 |NSV 698                      |Fl*|029.383 -80.927            |     ~|14    |     ~|     ~|     ~|~              |   2|   0
384 |V* V795 Ori                  |Fl*|083.82188 -06.54619        |     ~|19.400|15.3  |17.800|     ~|~              |   5|   0
385 |V* V995 Ori                  |Fl*|085.04092 -07.16503        |     ~|15.9  |17.0  |15.800|     ~|~              |   9|   0
386 |V* V1211 Tau                 |Fl*|057.714342 +23.329203      |12.9  |13.52 |12.45 |     ~|11.40 |~              |  17|   0
387 |2MASS J15482965-5346272      |Fl*|237.12354 -53.77422        |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
388 |2MASS J04080707-7127009      |Fl*|062.02946 -71.45028        |     ~|13.0  |     ~|11.7  |     ~|M0             |  14|   0
389 |V* V965 Ori                  |Fl*|081.82271 -04.19997        |     ~|18.1  |     ~|17.100|     ~|~              |   2|   0
390 |V* V2051 Cyg                 |Fl*|314.453350 +43.839889      |14.0  |17.700|17.17 |16.18 |     ~|~              |   6|   0
391 |V* V1018 Tau                 |Fl*|057.69413 +25.28700        |14.9  |16.000|     ~|16.000|     ~|~              |   2|   0
392 |V* V780 Ori                  |Fl*|083.742483 -05.157658      |     ~|13.9  |16.43 |16.5  |14.378|M2             |  26|   0
393 |V* V783 Tau                  |Fl*|054.680403 +25.374271      |     ~|18.161|16.584|     ~|13.744|~              |  12|   0
394 |V* OX Tau                    |Fl*|056.54121 +24.67364        |14.9  |16.72 |15.20 |     ~|12.81 |M:             |  33|   0
395 |V* IT Ori                    |Fl*|083.642371 -04.807753      |     ~|18.800|16.53 |16.200|14.11 |~              |  13|   0
396 |V* V539 Ori                  |Fl*|082.79908 -04.60778        |     ~|15.5  |     ~|14.100|     ~|~              |   0|   0
397 |V* V782 Tau                  |Fl*|054.702825 +25.188786      |14.5  |15.584|14.164|     ~|12.250|M:             |  13|   0
398 |V* KO Vul                    |Fl*|299.318463 +29.105864      |     ~|15    |     ~|16.000|     ~|~              |   4|   0
399 |V* V886 Ori                  |Fl*|084.66450 -05.63861        |     ~|18.700|17.9  |16.700|     ~|~              |   2|   0
400 |CD-56 1032B                  |Fl*|073.377229 -55.858794      |     ~|13.66 |13.92 |11.77 |     ~|M3Ve           |  38|   0
401 |V* V519 Tau                  |Fl*|056.31717 +24.12119        |16.3  |17.796|16.239|     ~|13.823|~              |  19|   0
402 |V* V1245 Tau                 |Fl*|057.947500 +25.201858      |12.4  |12.65 |11.92 |11.87 |     ~|~              |   4|   0
403 |V* CV Com                    |Fl*|186.111058 +25.752158      |14.3  |14.3  |14.68 |13.8  |     ~|M3.2           |   9|   0
404 |V* V403 Tau                  |Fl*|058.89104 +22.80892        |     ~|16.13 |14.63 |     ~|12.62 |M...           |  10|   0
405 |V* V400 Tau                  |Fl*|058.55421 +23.34750        |     ~|18.286|16.689|     ~|14.107|~              |  15|   0
406 |GJ 3157                      |Fl*|036.41008 +37.54278        |     ~|14.0  |13.991|13.538|10.9  |M4             |  18|   0
407 |V* FK Tau                    |Fl*|069.50779 +25.95311        |     ~|17.1  |     ~|     ~|     ~|M6V:e...       |   6|   0
408 |2MASS J07310503+2259547      |Fl*|112.770971 +22.998536      |     ~|     ~|13.523|     ~|     ~|~              |   1|   0
409 |V* DP Dra                    |Fl*|192.26148488 +66.11018451  |     ~|12.56 |10.838|10.544| 9.2  |M3V            |  75|   0
410 |V* V656 Mon                  |Fl*|098.85729 +09.47422        |     ~|16.3  |     ~|14.500|     ~|~              |   1|   0
411 |V* V686 Tau                  |Fl*|058.76021 +25.32572        |     ~|16.1  |     ~|15.700|     ~|~              |   6|   0
412 |GJ 4292                      |Fl*|340.84638 +22.13831        |     ~|16.5  |15.00 |14.0  |11.3  |M5V            |  15|   0
413 |2MASS J04425272+3138244      |Fl*|070.719667 +31.640117      |     ~|     ~|14.318|     ~|     ~|~              |   2|   0
414 |V* V1488 Aql                 |Fl*|293.16596 -06.44542        |     ~|16.000|     ~|15.100|     ~|~              |   1|   1
415 |V* KR Tau                    |Fl*|054.800650 +25.247200      |15.3  |15.30 |     ~|     ~|     ~|M              |  10|   0
416 |GJ 3800                      |Fl*|205.541283 -16.006483      |     ~|14.2  |13.469|13.213|     ~|M4             |  16|   0
417 |V* V1237 Ori                 |Fl*|083.994221 -04.490056      |     ~|15.55 |16.29 |15.800|13.88 |~              |  10|   0
418 |V* V1717 Cyg                 |Fl*|314.83471 +41.92894        |16.5  |15.700|     ~|13.400|     ~|~              |   2|   0
419 |EXO 220543-4725.5            |Fl*|332.212 -47.180            |     ~|     ~|     ~|     ~|     ~|K4V            |   2|   0
420 |[H83b] B60                   |Fl*|068.72 +22.33              |     ~|16.7  |     ~|     ~|     ~|~              |   2|   0
421 |V* V663 Tau                  |Fl*|057.302667 +25.702092      |14.0  |18.731|17.074|     ~|14.198|~              |  11|   0
422 |V* V1061 Ori                 |Fl*|082.6008 -04.9861          |     ~|17.7  |     ~|     ~|     ~|~              |   2|   0
423 |V* V1335 Aql                 |Fl*|289.57142 -05.10147        |     ~|15.4  |     ~|14.100|     ~|~              |   3|   0
424 |V* V683 Tau                  |Fl*|058.66479 +22.61008        |     ~|15.4  |     ~|14.900|     ~|~              |   5|   0
425 |V* V899 Ori                  |Fl*|085.10521 -06.26253        |15.5  |15.50 |     ~|14.500|     ~|~              |   2|   0
426 |V* FG Tau                    |Fl*|069.041917 +24.031967      |     ~|16.1  |     ~|14.900|     ~|M5:V:          |   8|   0
427 |V* V634 Tau                  |Fl*|056.185604 +24.175117      |16.5  |     ~|     ~|     ~|     ~|~              |   6|   0
428 |V* V2047 Cyg                 |Fl*|313.7329 +42.9583          |14.5  |     ~|     ~|     ~|     ~|~              |   2|   0
429 |V* V821 Tau                  |Fl*|066.03325 +23.91972        |     ~|16.0  |     ~|15.100|     ~|~              |   2|   0
430 |2MASS J11105625+4020428      |Fl*|167.734387 +40.345233      |     ~|     ~|14.309|     ~|     ~|~              |   2|   0
431 |V* V1043 Ori                 |Fl*|083.5371 -05.0283          |     ~|17.5  |     ~|     ~|     ~|~              |   2|   0
432 |V* V1780 Cyg                 |Fl*|306.81958 +41.70056        |16.2  |16.2  |     ~|17.500|     ~|~              |   2|   0
433 |V* V1043 Tau                 |Fl*|056.55117 +25.55044        |15.8  |15.000|     ~|12.700|     ~|~              |   3|   0
434 |V* V794 Tau                  |Fl*|056.96625 +24.09647        |15.9  |     ~|     ~|     ~|     ~|~              |   6|   0
435 |V* AZ Cnc                    |Fl*|130.123963 +18.402550      |14.1  |19.2  |17.59 |16.6  |13.45 |M6.0V          |  58|   0
436 |V* V472 Tau                  |Fl*|059.32933 +22.08992        |     ~|17.6  |     ~|     ~|     ~|~              |   5|   0
437 |Wolf 1039                    |Fl*|353.51388950 +00.17941044  |13.721|12.638|11.160|10.141| 8.881|M2/3V          |  49|   0
438 |V* V1754 Cyg                 |Fl*|308.056863 +43.269000      |16.1  |18.45 |     ~|17.22 |     ~|~              |   3|   0
439 |V* V1019 Tau                 |Fl*|057.93208 +24.18631        |15.9  |16.200|     ~|15.800|     ~|~              |   2|   0
440 |V* V780 Tau                  |Fl*|085.107108 +24.802505      |     ~|15.0  |14.936|12.7  |11.04 |M7V            |  43|   0
441 |V* V605 Tau                  |Fl*|055.28363 +23.21547        |     ~|15.9  |     ~|14.400|     ~|~              |   5|   0
442 |V* V930 Tau                  |Fl*|068.24579 +26.24439        |     ~|15.5  |     ~|     ~|     ~|~              |   3|   0
443 |GJ 3971                      |Fl*|250.08617 +67.60131        |     ~|17.6  |15.634|15.565|11.3  |M7V            |  24|   0
444 |V* V387 Tau                  |Fl*|057.99717 +24.66642        |     ~|15.5  |     ~|     ~|     ~|~              |   9|   0
445 |V* V851 Tau                  |Fl*|056.29275 +24.39219        |14.3  |     ~|     ~|     ~|     ~|~              |   2|   0
446 |V* V580 Ori                  |Fl*|084.049175 -05.009067      |     ~|16.0  |16.03 |     ~|13.63 |~              |  19|   0
447 |V* V1042 Ori                 |Fl*|083.4287 -04.9286          |     ~|18.3  |     ~|     ~|     ~|~              |   2|   0
448 |V* V625 Tau                  |Fl*|055.95188 +25.04361        |14.9  |     ~|     ~|     ~|     ~|M4.5           |  14|   0
449 |V* V707 Ori                  |Fl*|083.21271 -06.64653        |15.0  |15.00 |     ~|14.200|     ~|~              |   3|   0
450 |V* V1100 Ori                 |Fl*|083.04971 -04.72117        |     ~|16.2  |     ~|18.100|     ~|~              |   2|   0
451 |V* OO Tau                    |Fl*|056.30588 +23.51692        |14.1  |14.10 |     ~|     ~|     ~|~              |  12|   0
452 |V* EZ Tau                    |Fl*|068.80487 +22.98903        |     ~|18.3  |     ~|14.9  |     ~|M4.75V         |  20|   0
453 |V* V1122 Ori                 |Fl*|083.822246 -06.087764      |     ~|18.100|15.57 |15.800|13.38 |M2.0           |   7|   0
454 |GJ 3745                      |Fl*|191.44612 +52.92186        |     ~|16.13 |14.50 |13.6  |11.0  |M3.5           |  10|   0
455 |V* V870 Ori                  |Fl*|084.35321 -05.07619        |14.5  |14.50 |     ~|13.500|     ~|~              |   8|   0
456 |V* V660 Mon                  |Fl*|099.62071 +09.19058        |     ~|15.3  |     ~|14.900|     ~|~              |   1|   0
457 |V* V727 Ori                  |Fl*|083.430212 -06.089864      |     ~|15    |17.10 |     ~|14.58 |M3.4           |   9|   0
458 |GJ 2021                      |Fl*|017.3280024 -24.5065770    |     ~|16.21 |14.54 |14.242|11.52 |M4             |  14|   0
459 |V* V1604 Cyg                 |Fl*|313.878137 +43.580150      |16.8  |     ~|     ~|     ~|     ~|~              |   0|   0
460 |V* V452 Tau                  |Fl*|056.76979 +25.38061        |     ~|17.91 |16.35 |     ~|13.61 |M4.5           |  22|   0
461 |V* V663 Mon                  |Fl*|099.82021 +09.29472        |     ~|16.0  |     ~|14.500|     ~|~              |   2|   0
462 |V* CW UMa                    |Fl*|167.9655939 +33.5364664    |     ~|14.02 |12.314|12.203| 9.7  |M3.5V          |  50|   0
463 |V* V559 Tau                  |Fl*|057.90212 +26.43381        |     ~|16.8  |     ~|15.000|     ~|~              |   6|   0
464 |V* V564 Ori                  |Fl*|083.866367 -06.160867      |     ~|17.3  |16.12 |     ~|13.57 |M3.3           |  10|   0
465 |V* V1253 Ori                 |Fl*|084.82429 -03.92022        |15.2  |15.63 |     ~|17.700|     ~|~              |   4|   0
466 |V* BT UMa                    |Fl*|172.7237274 +44.2434428    |     ~|15.0  |13.721|13.655|     ~|~              |   9|   0
467 |V* V735 Tau                  |Fl*|055.404 +23.777            |16.7  |     ~|     ~|     ~|     ~|~              |   3|   0
468 |G 116-73                     |Fl*|149.8370936 +43.8403217    |     ~|14.62 |14.227|13.75 |10.9  |M5V            |  18|   0
469 |V* V498 Ori                  |Fl*|083.873900 -05.812508      |     ~|18.0  |13.7  |12.73 |11.99 |K2             |  17|   0
470 |V* V950 Ori                  |Fl*|084.00933 -04.31094        |     ~|15.6  |     ~|15.500|     ~|~              |   1|   0
471 |V* V428 Tau                  |Fl*|055.02788 +24.41900        |     ~|18    |     ~|14.800|     ~|~              |   9|   0
472 |V* V1790 Cyg                 |Fl*|312.521 +43.420            |     ~|16.8  |     ~|     ~|     ~|~              |   1|   0
473 |V* NQ Tau                    |Fl*|056.165050 +24.528961      |     ~|15.3  |     ~|     ~|     ~|~              |  10|   0
474 |GJ 3861                      |Fl*|219.22092 +58.34861        |     ~|13.29 |11.66 |10.9  | 9.1  |M3.0V          |  20|   0
475 |V* V1003 Tau                 |Fl*|055.692508 +23.453336      |15.0  |16.6  |     ~|13.700|     ~|~              |   6|   0
476 |Wolf 1561 A                  |Fl*|334.329155 -08.803390      |15.08 |14.97 |13.29 |13.32 |10.57 |M4V            |  70|   0
477 |V* V339 Tau                  |Fl*|057.017887 +22.855522      |13.5  |14.32 |13.0  |     ~|     ~|M:             |  15|   0
478 |V* V872 Ori                  |Fl*|084.36254 -05.51778        |16.3  |16.30 |     ~|16.600|     ~|~              |   2|   0
479 |V* V1123 Ori                 |Fl*|083.847675 -05.181050      |16.643|15.097|14.106|18.5  |12.056|K8             |  43|   0
480 |V* V1011 Tau                 |Fl*|056.57213 +25.98653        |14.7  |17.8  |     ~|16.100|     ~|~              |   2|   0
481 |GJ 113 C                     |Fl*|042.040587 +27.073828      |     ~|16.9  |16.5  |15.75 |     ~|M5V            |  18|   0
482 |V* V741 Ori                  |Fl*|083.54587 -06.79011        |16.1  |18.300|     ~|15.900|     ~|~              |   3|   0
483 |LP 704-14                    |Fl*|359.330654 -12.977975      |     ~|14.60 |13.00 |12.731|10.41 |M3             |  23|   0
484 |V* V737 Ori                  |Fl*|083.54321 -04.47392        |     ~|19.000|17.33 |17.100|     ~|M3             |   4|   0
485 |V* V1238 Ori                 |Fl*|084.02875 -04.34378        |15.9  |16.400|16.3  |14.900|     ~|~              |   6|   0
486 |V* V970 Tau                  |Fl*|056.44267 +26.29947        |14.8  |14.8  |     ~|14.000|     ~|~              |   2|   0
487 |V* V936 Tau                  |Fl*|068.517742 +22.004067      |     ~|15.6  |     ~|15.7  |     ~|~              |   1|   0
488 |V* V1599 Cyg                 |Fl*|313.11079 +42.97703        |15.0  |17.800|     ~|16.400|     ~|~              |   2|   0
489 |V* V736 Ori                  |Fl*|083.50808 -04.76369        |     ~|15    |     ~|16.600|     ~|~              |   1|   0
490 |V* V982 Tau                  |Fl*|058.63996 +23.32208        |15.3  |15.3  |     ~|15.000|     ~|~              |   2|   0
491 |V* V1076 Ori                 |Fl*|084.066004 -06.247425      |     ~|17.800|16.81 |15.96 |14.38 |M2.5           |  16|   0
492 |V* V845 Ori                  |Fl*|084.169546 -06.867922      |     ~|16.76 |16.156|14.900|13.806|M2             |  10|   0
493 |GJ 3030                      |Fl*|005.49087 +49.21056        |     ~|13.8  |12.84 |11.5  |10.1  |M2.4V          |  19|   0
494 |V* V555 Tau                  |Fl*|057.599554 +24.478528      |14.6  |14.700|     ~|14.600|     ~|~              |   8|   0
495 |V* V862 Ori                  |Fl*|084.29175 -04.73833        |15.0  |15.50 |     ~|16.800|     ~|~              |   2|   0
496 |V* V1536 Cyg                 |Fl*|313.91342 +44.34122        |     ~|15.4  |     ~|     ~|     ~|~              |   2|   0
497 |V* KX Tau                    |Fl*|055.40671 +22.27847        |     ~|     ~|16.65 |     ~|     ~|~              |   7|   0
498 |V* PU Tau                    |Fl*|056.708675 +23.532320      |     ~|19.10 |17.80 |     ~|14.80 |~              |  13|   0
499 |V* V544 Tau                  |Fl*|057.19075 +25.94725        |     ~|16.6  |     ~|16.400|     ~|~              |   8|   0
500 |UCAC4 688-112075             |Fl*|331.523525 +47.568714      |     ~|     ~|13.188|13.502|     ~|~              |   4|   0
501 |V* HW And                    |Fl*|010.29750 +43.55586        |     ~|13.900|     ~|13.200|     ~|~              |   3|   0
502 |V* V689 Ori                  |Fl*|082.69067 -06.87103        |     ~|15.00 |     ~|15.500|     ~|~              |   2|   0
503 |GJ 3142                      |Fl*|033.227424 +00.004657      |     ~|15.26 |13.58 |12.31 |10.66 |M4V            |  34|   0
504 |V* V1607 Cyg                 |Fl*|314.2950 +41.0733          |16.2  |     ~|     ~|     ~|     ~|~              |   2|   0
505 |V* V764 Ori                  |Fl*|083.67275 -05.79892        |     ~|16.0  |15.2  |     ~|     ~|M0.0           |  12|   0
506 |V* V466 Tau                  |Fl*|057.82946 +24.17039        |     ~|17.698|16.132|     ~|13.648|~              |  20|   0
507 |V* V438 Tau                  |Fl*|056.10663 +24.68136        |     ~|18.17 |     ~|     ~|     ~|~              |  21|   0
508 |V* V772 Tau                  |Fl*|059.28792 +22.03164        |     ~|17.0  |     ~|17.600|     ~|~              |   5|   0
509 |GJ 1288                      |Fl*|355.71975 +30.82275        |     ~|16.13 |14.400|14.121|11.1  |M5V            |  19|   0
510 |V* V1219 Ori                 |Fl*|083.610492 -05.016894      |     ~|16.55 |15.9  |15.14 |     ~|M2             |   8|   0
511 |V* V451 Tau                  |Fl*|056.73192 +25.21019        |     ~|17.5  |     ~|15.800|     ~|~              |  11|   0
512 |2MASS J03541133+4247391      |Fl*|058.547229 +42.794197      |     ~|     ~|14.489|     ~|     ~|~              |   2|   0
513 |StKM 1-1294                  |Fl*|239.5428924 +49.4523087    |     ~|13.08 |11.949|11.315| 9.8  |M1.0V          |  13|   0
514 |V* V1402 Ori                 |Fl*|085.067067 +12.650214      | 6.73 |12.61 |11.354|10.963| 9.207|M1.5V          |  30|   0
515 |V* V1223 Ori                 |Fl*|083.68971 -04.07658        |14.3  |15.7  |     ~|14.700|     ~|~              |   4|   0
516 |V* V657 Ori                  |Fl*|084.15438 -05.07811        |     ~|17.000|15.0  |14.100|     ~|M2             |  15|   0
517 |V* V841 Ori                  |Fl*|084.16992 -04.35561        |16.0  |16.00 |     ~|15.000|     ~|~              |   2|   0
518 |V* V712 Ori                  |Fl*|083.2954 -05.1458          |14.7  |14.70 |13.93 |     ~|     ~|K7             |   7|   0
519 |V* V1054 Tau                 |Fl*|057.913650 +24.548906      |12.7  |13.15 |12.15 |12.30 |11.06 |~              |  23|   1
520 |V* V393 Per                  |Fl*|047.42367 +47.65183        |     ~|15.57 |     ~|15.100|     ~|~              |   3|   0
521 |V* V557 Tau                  |Fl*|057.737492 +24.413711      |     ~|15.700|     ~|14.900|     ~|~              |   8|   0
522 |V* V1593 Cyg                 |Fl*|311.03921 +42.39786        |16.5  |16.500|     ~|15.100|     ~|~              |   2|   0
523 |V* V977 Ori                  |Fl*|083.51521 -04.95594        |     ~|21.0  |     ~|     ~|     ~|~              |   2|   0
524 |V* V854 Tau                  |Fl*|056.364617 +23.632575      |16.7  |     ~|18.80 |     ~|15.70 |~              |   7|   0
525 |V* V920 Ori                  |Fl*|081.95963 -04.34456        |     ~|15.2  |     ~|16.400|     ~|~              |   1|   0
526 |V* V881 Tau                  |Fl*|057.793075 +24.402267      |13.7  |19.700|     ~|17.600|     ~|~              |   5|   1
527 |Ross 614                     |Fl*|097.34752788 -02.81396405  |13.942|12.764|11.071| 9.77 | 8.05 |M4V+M5.5V      | 275|   0
528 |LP 619-50                    |Fl*|213.050662 -00.587925      |     ~|21    |20.14 |18.07 |15.76 |M6.5V          |  20|   0
529 |V* V684 Tau                  |Fl*|058.70829 +24.75992        |16.4  |17.0  |     ~|15.500|     ~|~              |   6|   0
530 |V* V433 Tau                  |Fl*|055.651109 +23.368023      |     ~|19.21 |17.60 |     ~|14.68 |~              |  15|   0
531 |V* V459 Tau                  |Fl*|057.06817 +26.33500        |     ~|13.3  |17.50 |     ~|     ~|~              |   7|   0
532 |V* V1269 Ori                 |Fl*|083.437492 -07.274208      |15.7  |     ~|     ~|     ~|15.21 |~              |   3|   0
533 |Ross 868                     |Fl*|259.97585005 +26.50086345  |     ~|12.98 |11.336|11.060| 8.420|M3V            | 119|   1
534 |V* V718 Ori                  |Fl*|083.3508 -06.4592          |     ~|15.0  |     ~|     ~|     ~|~              |   5|   0
535 |V* V817 Ori                  |Fl*|083.971167 -05.996669      |     ~|     ~|17.3  |     ~|     ~|~              |   3|   0
536 |GJ 3237                      |Fl*|054.1701530 +03.4887612    |     ~|15.5  |13.944|13.615|10.913|M5V            |  22|   0
537 |V* AX Mic                    |Fl*|319.31361994 -38.86735993  | 9.21 | 8.09 | 6.68 |     ~|     ~|M0Ve           | 179|   0
538 |V* V581 Tau                  |Fl*|059.035742 +21.763314      |     ~|16.8  |     ~|     ~|     ~|~              |   7|   0
539 |V* V1109 Ori                 |Fl*|083.36454 -07.70533        |     ~|15.6  |     ~|     ~|     ~|~              |   2|   0
540 |Wolf 424                     |Fl*|188.322430 +09.021047      |15.398|14.313|12.467|10.937| 8.988|M5.5V          | 275|   1
541 |2MASS J18475195+2757034      |Fl*|281.966471 +27.950967      |     ~|13.0  |12.064|     ~|     ~|~              |   4|   0
542 |V* CL Cnc                    |Fl*|130.517 +19.952            |     ~|16.1  |     ~|     ~|     ~|~              |   2|   0
543 |GJ 528 A                     |Fl*|207.26662 +26.97972        |     ~| 8.351| 7.232| 7.08 |     ~|K4V            |  34|   0
544 |V* V1494 Cyg                 |Fl*|313.1087 +43.5561          |15.5  |     ~|     ~|     ~|     ~|~              |   2|   0
545 |V* V862 Tau                  |Fl*|056.81554 +22.35478        |15.9  |     ~|     ~|     ~|15.13 |~              |  11|   0
546 |GJ 1078                      |Fl*|080.954142 +22.544364      |     ~|17.35 |15.52 |14.1  |12.2  |M4.5V          |  16|   0
547 |GJ 1101                      |Fl*|118.97487 +83.38472        |     ~|14.2  |13.09 |12.7  |10.1  |M4.0V          |  31|   0
548 |BD+36 1638                   |Fl*|112.99048860 +36.21938713  |     ~|13.42 |10.624|10.205| 8.9  |M3.5Ve         |  98|   0
549 |V* V520 Tau                  |Fl*|056.32075 +25.26328        |     ~|17.85 |16.20 |     ~|13.52 |~              |  20|   0
550 |V* V1957 Cyg                 |Fl*|314.48550 +43.87675        |16.0  |18.0  |16.3  |     ~|     ~|~              |   5|   0
551 |V* V336 Mon                  |Fl*|100.1558 +09.9228          |     ~|16.0  |     ~|     ~|     ~|~              |   1|   0
552 |V* V1131 Ori                 |Fl*|084.07979 -05.01061        |14.1  |14.1  |     ~|17.200|     ~|~              |   2|   0
553 |V* V1608 Cyg                 |Fl*|314.3196 +44.7272          |14.8  |     ~|     ~|     ~|     ~|~              |   2|   0
554 |GJ 3613                      |Fl*|159.6241009 +48.5291003    |     ~|14.5  |13.470|13.163|10.5  |M3V            |  26|   0
555 |V* V1241 Ori                 |Fl*|084.113846 -05.778436      |15.1  |15.2  |14.3  |13.9  |     ~|K6             |  10|   0
556 |V* IY Cnc                    |Fl*|121.6213 +15.6794          |     ~|     ~|     ~|     ~|22.0  |~              |   1|   0
557 |V* DS Cnc                    |Fl*|131.306596 +17.724022      |16.3  |     ~|     ~|13.60 |     ~|M4             |   2|   0
558 |V* V370 Tau                  |Fl*|057.55167 +24.53294        |13.8  |14.34 |13.14 |     ~|11.98 |K3e            |  30|   0
559 |V* V873 Ori                  |Fl*|084.42188 -04.24372        |     ~|18.700|18.1  |16.500|     ~|~              |   2|   0
560 |V* V659 Mon                  |Fl*|099.4800 +09.5756          |     ~|15.8  |     ~|     ~|     ~|~              |   1|   0
561 |V* V984 Ori                  |Fl*|083.88021 -05.97594        |     ~|19.400|     ~|16.600|     ~|M2             |  10|   0
562 |GJ 3221                      |Fl*|050.8434330 +11.6870581    |     ~|13.76 |12.202|11.840| 9.6  |M3.5V          |  25|   0
563 |V* V613 Cas                  |Fl*|039.450 +62.130            |     ~|15.30 |     ~|     ~|     ~|M1             |   2|   0
564 |V* V697 Tau                  |Fl*|068.3491092 +23.9908117    |     ~|14.14 |12.657|12.270|     ~|M3.0V          |  34|   0
565 |V* V942 Ori                  |Fl*|083.83529 -06.79053        |     ~|16.56 |15.910|15.000|13.801|M1.2           |   5|   0
566 |V* V652 Tau                  |Fl*|056.920717 +22.929975      |12.4  |13.28 |12.22 |     ~|11.14 |K3V            |  26|   0
567 |V* V855 Ori                  |Fl*|084.22192 -06.58344        |     ~|18.80 |17.799|16.600|14.939|M3.9           |   6|   0
568 |FSO B3                       |Fl*|085.69117 -05.83050        |     ~|15.800|16.0  |13.500|     ~|~              |   2|   0
569 |LP 205-44                    |Fl*|097.961383 +41.495969      |     ~|16.50 |14.78 |14.462|11.0  |M5.84          |  23|   0
570 |CRTS CSS090615 J124907+003142|Fl*|192.27804 +00.52833        |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
571 |V* AU Cnc                    |Fl*|128.467 +19.462            |16.6  |16.60 |     ~|     ~|     ~|~              |   3|   0
572 |V* V611 Cas                  |Fl*|036.848525 +61.442436      |     ~|13.35 |11.81 |11.8  |     ~|M2             |   2|   0
573 |V* V1002 Tau                 |Fl*|055.30475 +24.10089        |14.7  |16.600|     ~|15.300|     ~|~              |   2|   0
574 |V* V1139 Ori                 |Fl*|084.3462 -06.0564          |     ~|16.01 |     ~|     ~|     ~|~              |   7|   0
575 |V* V742 Ori                  |Fl*|083.556092 -05.928272      |     ~|18.000|16.73 |16.500|14.18 |~              |  12|   0
576 |V* V923 Tau                  |Fl*|067.51637 +25.83417        |     ~|15.9  |     ~|15.000|     ~|~              |   3|   0
577 |V* V691 Ori                  |Fl*|082.73775 -04.21572        |     ~|16.0  |     ~|14.200|     ~|~              |   3|   0
578 |V* V1007 Tau                 |Fl*|056.35867 +24.75303        |16    |17.300|     ~|16.000|     ~|~              |   2|   0
579 |GJ 3511 B                    |Fl*|129.95200 +08.93839        |     ~|15.8  |12.07 |12.8  |     ~|M3.5           |   7|   0
580 |V* CE Cnc                    |Fl*|129.650 +21.765            |14.3  |     ~|     ~|     ~|     ~|~              |   2|   0
581 |V* V787 Tau                  |Fl*|056.43367 +24.07411        |14.2  |15.63 |14.23 |     ~|12.51 |~              |  24|   0
582 |V* V765 Ori                  |Fl*|083.680362 -06.284333      |15.3  |15.30 |15.97 |     ~|13.62 |M2.4           |  10|   0
583 |V* V535 Tau                  |Fl*|056.76492 +24.15972        |     ~|15.93 |14.58 |     ~|12.72 |K8             |  39|   0
584 |V* V789 Tau                  |Fl*|056.52875 +24.56281        |14.7  |14.14 |13.02 |13.07 |11.75 |~              |  36|   0
585 |[H83b] B47                   |Fl*|069.57 +23.07              |     ~|15.3  |     ~|     ~|     ~|~              |   2|   0
586 |V* SZ UMa                    |Fl*|170.02011894 +65.84648503  |13.24 |12.16 |10.74 | 8.4  | 7.7  |M2V            | 136|   0
587 |V* V568 Tau                  |Fl*|058.21546 +22.52586        |     ~|16.5  |16.90 |     ~|14.40 |~              |  11|   0
588 |V* V883 Tau                  |Fl*|058.237338 +22.433761      |14.5  |17.881|16.322|15.1  |13.853|~              |  11|   0
589 |V* AV Cnc                    |Fl*|129.342 +19.958            |16.6  |16.60 |     ~|     ~|     ~|~              |   2|   0
590 |V* V1117 Ori                 |Fl*|083.66304 -04.03597        |     ~|15.6  |     ~|15.200|     ~|~              |   3|   0
591 |V* V669 Tau                  |Fl*|057.506975 +24.613528      |13.5  |     ~|     ~|     ~|16.15 |~              |   8|   0
592 |V* V1152 Ori                 |Fl*|085.89675 -06.24336        |     ~|15.9  |     ~|13.900|     ~|~              |   2|   0
593 |V* V336 Cep                  |Fl*|311.76137 +67.33156        |     ~|17.0  |     ~|     ~|     ~|~              |   1|   0
594 |V* V871 Ori                  |Fl*|084.32300 -06.21336        |15.3  |15.30 |     ~|16.000|     ~|~              |   3|   0
