C.D.S.  -  SIMBAD4 rel 1.5.8  -  2016.10.08EDT11:44:25

maintype = 'Flare Star'
-----------------------

Number of objects : 2026

 #  |         identifier          |typ| coord1 (ICRS,J2000/2000)  |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|-----------------------------|---|---------------------------|------|------|------|------|------|---------------|----|----
49  |V* V1088 Ori                 |Fl*|081.65300 -05.74050        |     ~|15.2  |     ~|14.800|     ~|~              |   2|   0
50  |V* V715 Ori                  |Fl*|083.34333 -05.54264        |     ~|15.6  |14.5  |16.100|     ~|~              |  15|   0
51  |GJ 102                       |Fl*|038.404882 +24.927567      |     ~|14.66 |12.978|12.730|10.0  |M3.5Ve         |  49|   0
52  |GJ 1290                      |Fl*|356.08683 +21.60139        |     ~|14.90 |13.373|12.960|10.4  |M3.4V          |  22|   0
53  |V* V705 Ori                  |Fl*|083.17488 -05.65667        |     ~|15.5  |     ~|14.900|     ~|~              |   7|   0
54  |MASTER OT J193657.39+445236.4|Fl*|294.238950 +44.876639      |     ~|     ~|     ~|19.3  |     ~|~              |   1|   0
55  |Wolf 1246                    |Fl*|054.8738050 +24.9673748    |13.1  |13.8  |12.871|12.428| 9.9  |M3.5V          |  32|   0
56  |[H83b] B71                   |Fl*|068.67 +24.77              |     ~|18.8  |     ~|     ~|     ~|~              |   2|   0
57  |GJ 3898                      |Fl*|228.15908 +45.72956        |     ~|14.5  |13.328|13.011|10.1  |M4.0V          |  26|   0
58  |2MASS J06414184+0933022      |Fl*|100.42437 +09.55061        |     ~|     ~|17.5  |     ~|     ~|~              |   4|   0
59  |V* V1252 Ori                 |Fl*|084.74754 -04.51056        |     ~|16.3  |     ~|16.600|     ~|~              |   1|   0
60  |GJ 3820                      |Fl*|209.793575 -19.834292      |     ~|14.558|12.88 |11.60 | 9.90 |M4.5V          |  30|   0
61  |V* V1052 Ori                 |Fl*|085.52125 -05.18572        |14.0  |21.0  |     ~|17.500|     ~|~              |   2|   0
62  |V* V692 Ori                  |Fl*|082.78396 -07.07156        |     ~|15.0  |     ~|     ~|     ~|~              |   3|   0
63  |V* V926 Tau                  |Fl*|067.62663 +22.49842        |     ~|16.1  |     ~|16.100|     ~|~              |   4|   0
64  |V* BD Cnc                    |Fl*|130.2996 +19.8989          |13.5  |13.50 |     ~|     ~|     ~|~              |   3|   0
65  |V* AF Hor                    |Fl*|040.44713 -52.99186        |     ~|13.70 |12.21 |     ~|     ~|M2Ve           |  29|   0
